iter	Passed	Remaining
656	1581	825
657	1583	823
658	1585	820
659	1587	817
660	1589	814
661	1590	812
662	1592	809
663	1594	806
664	1596	804
665	1598	801
666	1601	799
667	1602	796
668	1604	793
669	1606	791
670	1608	788
671	1610	785
672	1612	783
673	1614	781
674	1616	778
675	1618	775
676	1619	772
677	1621	770
678	1623	767
679	1625	764
680	1626	762
681	1628	759
682	1630	756
683	1632	754
684	1635	751
685	1637	749
686	1638	746
687	1641	744
688	1643	742
689	1645	739
690	1647	736
691	1649	734
692	1651	731
693	1653	728
694	1656	726
695	1658	724
696	1660	721
697	1662	719
698	1664	716
699	1666	714
700	1668	711
701	1670	709
702	1672	706
703	1674	704
704	1676	701
705	1678	699
706	1680	696
707	1683	694
708	1686	692
709	1688	689
710	1690	687
711	1692	684
712	1694	681
713	1696	679
714	1698	677
715	1700	674
716	1702	671
717	1703	669
718	1705	666
719	1707	664
720	1709	661
721	1711	658
722	1712	656
723	1714	653
724	1716	650
725	1717	648
726	1719	645
727	1721	643
728	1722	640
729	1724	637
730	1726	635
731	1727	632
732	1729	629
733	1731	627
734	1732	624
735	1734	622
736	1736	619
737	1738	617
738	1739	614
739	1741	612
740	1743	609
741	1745	606
742	1746	604
743	1748	601
744	1750	599
745	1752	596
746	1753	593
747	1755	591
748	1757	588
749	1758	586
750	1760	583
751	1762	581
752	1763	578
753	1765	576
754	1767	573
755	1768	570
756	1770	568
757	1772	565
758	1773	563
759	1775	560
760	1776	558
761	1778	555
762	1780	553
763	1782	550
764	1783	547
765	1785	545
766	1786	542
767	1788	540
768	1789	537
769	1791	535
770	1793	532
771	1795	530
772	1797	527
773	1798	525
774	1800	522
775	1802	520
776	1804	517
777	1805	515
778	1808	512
779	1809	510
780	1811	507
781	1812	505
782	1814	502
783	1815	500
784	1817	497
785	1818	495
786	1820	492
787	1822	490
788	1824	487
789	1825	485
790	1827	482
791	1828	480
792	1830	477
793	1832	475
794	1834	472
795	1835	470
796	1837	468
797	1839	465
798	1841	463
799	1843	460
800	1844	458
801	1846	455
802	1848	453
803	1850	451
804	1852	448
805	1854	446
806	1855	443
807	1857	441
808	1859	438
809	1860	436
810	1862	434
811	1864	431
812	1866	429
813	1867	426
814	1869	424
815	1870	421
816	1872	419
817	1874	417
818	1876	414
819	1877	412
820	1879	409
821	1881	407
822	1882	404
823	1884	402
824	1886	400
825	1888	397
826	1890	395
827	1892	393
828	1893	390
829	1895	388
830	1896	385
831	1898	383
832	1900	380
833	1901	378
834	1904	376
835	1906	373
836	1908	371
837	1910	369
838	1911	366
839	1913	364
840	1915	362
841	1917	359
842	1919	357
843	1921	355
844	1922	352
845	1924	350
846	1926	347
847	1928	345
848	1929	343
849	1931	340
850	1933	338
851	1935	336
852	1936	333
853	1938	331
854	1940	329
855	1942	326
856	1943	324
857	1945	322
858	1947	319
859	1949	317
860	1950	314
861	1951	312
862	1953	310
863	1955	307
864	1957	305
865	1958	303
866	1960	300
867	1962	298
868	1964	296
869	1965	293
870	1967	291
871	1969	289
872	1971	286
873	1973	284
874	1974	282
875	1976	279
876	1978	277
877	1980	275
878	1981	272
879	1982	270
880	1984	268
881	1986	265
882	1988	263
883	1989	261
884	1991	258
885	1993	256
886	1995	254
887	1996	251
888	1998	249
